l2trialnr	$l2picture
1	"cross.jpg"
2	"cross_dash.jpg"
3	"dot_cross.jpg"
4	"dash_dot.tif"
5	"cross_cross.jpg"
6	"dot_cross.jpg"
7	"dot_dash_dash.tif"
8	"dash_dash_cross.jpg"
9	"dash_dot_cross.jpg"
10	"dot_cross_dot.jpg"
11	"dot_dot_cross.jpg"
12	"dot_dash_dash.tif"
